official_fantasy_player_id,internal_player_id,name,country,official_fantasy_position,official_price,current_start_probability,current_expected_minutes,current_role_label,current_role_confidence,priority,reason_for_priority,usage_status_before,recommended_source_type,notes
1600,germany-jamal-musiala,Jamal Musiala,Germany,MID,8,0.355,34,club_star_nt_usage_missing,low,P0,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|flagged_high_price_missing_usage|flagged_club_star_nt_usage_missing|high_price_uncertainty_fallback_player,source_backed_usage_found,manual_source_backed,P0/P1 carry-forward from v1 targeted sourcing list.
528,germany-kai-havertz,Kai Havertz,Germany,FWD,7.8,0.3,31.6,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_usage_found,manual_source_backed,P0/P1 carry-forward from v1 targeted sourcing list.
1712,england-ivan-toney,Ivan Toney,England,FWD,7.5,0.33,33.2,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_usage_found,manual_source_backed,Named final-pass priority player reviewed in v2.
1369,brazil-neymar-junior,Neymar da Silva Santos Júnior,Brazil,MID,7.2,0.16,20.2,unclear,missing,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_impact_watchlist_player|high_price_start_probability_below_0.45,missing_source_gap,official_federation_or_confederation_match_report_needed,Named final-pass priority player reviewed in v2.
226,canada-jonathan-david,Jonathan David,Canada,FWD,7,0.315,32.4,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_usage_found,official_federation,P0/P1 carry-forward from v1 targeted sourcing list.
748,mexico-raul-jimenez,Raúl Jiménez,Mexico,FWD,7,0.33,33.2,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_role_evidence_only,manual_source_backed,P0/P1 carry-forward from v1 targeted sourcing list.
1274,usa-christian-pulisic,Christian Pulisic,USA,MID,7,0.335,32.8,unclear_high_price,low,P0,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_price_uncertainty_fallback_applied|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player|high_price_start_probability_below_0.45|high_price_uncertainty_fallback_player,source_backed_usage_found,official_federation,P0/P1 carry-forward from v1 targeted sourcing list.
1485,mexico-santiago-gimenez,Santiago Giménez,Mexico,FWD,6.8,0.195,24.5,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
531,germany-deniz-undav,Deniz Undav,Germany,FWD,6.6,0.215,25.6,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_backed_usage_found,manual_source_backed,Named final-pass priority player reviewed in v2.
1327,thin-2-emiliano-buendia,Emiliano Buendía,Argentina,MID,6.5,,,blocked,blocked,P1,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
270,colombia-james-rodriguez,James Rodríguez,Colombia,MID,6.5,0.215,23.8,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_backed_role_evidence_only,manual_source_backed,Named final-pass priority player reviewed in v2.
815,thin-30-xavi-simons,Xavi Simons,Netherlands,MID,6.5,,,blocked,blocked,P1,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1493,new-zealand-chris-wood,Chris Wood,New Zealand,FWD,6.5,0.175,23.5,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_backed_role_evidence_only,fifa_match_report,Named final-pass priority player reviewed in v2.
1683,norway-fredrik-aursnes,Fredrik Aursnes,Norway,MID,6.5,0.235,25,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|high_impact_watchlist_player,source_backed_role_evidence_only,official_federation,Named final-pass priority player reviewed in v2.
1999,spain-pablo-paez-gavi,Pablo Páez Gavira,Spain,MID,6.5,0.16,20.2,unclear,missing,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|high_impact_watchlist_player,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1990,ghana-abdul-fatawu,Abdul Fatawu,Ghana,FWD,6.4,0.25,34.5,impact_sub,low,P1,high_price_low_role_confidence|high_price_start_probability_below_0.35,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
763,mexico-alvaro-fidalgo,Álvaro Fidalgo,Mexico,MID,6.4,0.19,22.2,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
1396,colombia-juan-camilo-hernandez,Cucho Hernández,Colombia,FWD,6.3,0.21,25.3,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1473,mexico-cesar-huerta,César Huerta,Mexico,MID,6.3,0.19,22.2,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
1477,mexico-luis-chavez,Luis Chávez,Mexico,MID,6.3,0.16,20.2,unclear,missing,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
1671,thin-29-sofiane-boufal,Sofiane Boufal,Morocco,MID,6.3,,,blocked,blocked,P1,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
9,algeria-mohamed-amine-amoura,Mohammed Amoura,Algeria,FWD,6.2,0.21,25.3,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1335,thin-2-matias-soule,Matías Soulé,Argentina,MID,6.2,,,blocked,blocked,P1,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
53,argentina-valentin-barco,Valentín Barco,Argentina,MID,6.2,0.23,24.7,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
227,canada-cyle-larin,Cyle Larin,Canada,FWD,6.2,0.17,23.2,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
762,mexico-orbelin-pineda,Orbelín Pineda,Mexico,MID,6.2,0.19,22.2,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
2022,morocco-bilal-el-khannouss,Bilal El Khannouss,Morocco,MID,6.2,0.21,23.4,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
814,netherlands-teun-koopmeiners,Teun Koopmeiners,Netherlands,MID,6.2,0.23,24.7,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1257,thin-47-johnny-cardoso,Johnny Cardoso,USA,MID,6.2,,,blocked,blocked,P1,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1292,uzbekistan-abbosbek-fayzullaev,Abbosbek Fayzullaev,Uzbekistan,MID,6.2,0.21,23.4,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
271,colombia-jorge-carrascal,Jorge Carrascal,Colombia,MID,6.1,0.21,23.4,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
485,england-kobbie-mainoo,Kobbie Mainoo,England,MID,6.1,0.21,23.4,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
813,thin-30-jerdy-schouten,Jerdy Schouten,Netherlands,MID,6.1,,,blocked,blocked,P1,high_price_low_role_confidence|high_price_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1254,usa-malik-tillman,Malik Tillman,USA,MID,6.1,0.21,23.4,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
1255,usa-weston-mckennie,Weston McKennie,USA,MID,6.1,0.23,24.7,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
1307,uzbekistan-igor-sergeev,Igor Sergeev,Uzbekistan,FWD,6.1,0.08,12.8,squad_depth,low,P1,high_price_low_role_confidence|high_price_start_probability_below_0.35,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1291,uzbekistan-jaloliddin-masharipov,Jaloliddin Masharipov,Uzbekistan,MID,6.1,0.54,44.1,rotation_starter,low,P1,high_price_low_role_confidence,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1340,thin-2-santiago-castro,Santiago Castro,Argentina,FWD,6,,,blocked,blocked,P1,high_price_low_role_confidence|high_price_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
2050,thin-3-cristian-volpato,Cristian Volpato,Australia,MID,6,0.08,11.4,thin_profile_unclear,thin_profile,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
97,austria-sasa-kalajdzic,Sasa Kalajdzic,Austria,FWD,6,0.19,24.3,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
245,canada-ismael-kone,Ismaël Koné,Canada,MID,6,0.23,24.7,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,missing_source_gap,official_federation_or_confederation_match_report_needed,P0/P1 carry-forward from v1 targeted sourcing list.
1474,mexico-edson-alvarez,Edson Álvarez,Mexico,MID,6,0.21,23.4,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
1267,usa-folarin-balogun,Folarin Balogun,USA,FWD,6,0.21,25.3,unclear,low,P1,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
2033,usa-tyler-adams,Tyler Adams,USA,MID,5.3,0.2,22.8,unclear,low,P1,strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player,source_backed_usage_found,official_federation,P0/P1 carry-forward from v1 targeted sourcing list.
1258,usa-antonee-robinson,Antonee Robinson,USA,DEF,5,0.22,25.8,unclear,low,P1,strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player,existing_repo_evidence_used,existing_repo_data,P0/P1 carry-forward from v1 targeted sourcing list.
1961,canada-alphonso-davies,Alphonso Davies,Canada,DEF,4.9,0.2,24.4,unclear,low,P1,strong_club_context_missing_national_team_usage|host_country_important_player|high_impact_watchlist_player,source_backed_usage_found,official_federation,P0/P1 carry-forward from v1 targeted sourcing list.
